text,cuisine
Your sauce recipe has a lot of starch for the amount of liquid. It's a wonder that you got any sauce at all. Also that's a lot of oyster sauce. Typical ratios are one part oyster sauce to three parts soy sauce.,CHINESE
"I like to dip saltines into Lipton tea that has sugar in it. Weird, I know, but it’s something I did as a kid and still like it. Lol!",CHINESE
"Do they? I know very little about cooking curries, just that they're delicious. Can you recommend good resources for learning to cook them properly?",INDIAN
This is really good: Smoky Lentil Chili https://www.lemonsforlulu.com/smoky-lentil-chili/,AMERICAN
"That's basically what I did :) I had been eating my bacon as I was making the pancakes, so just crumbled a piece on top.",AMERICAN
They can be used to make a pretty decent sauce for a pork tenderloin. Or they can be used reduced down and used to make a BBQ sauce.,AMERICAN
"Given the state of research on diet, it's hard to say how much you should care about the recipe using butter vs olive oil, but either way, the quantity sounds excessive. Partly because congealed butter on top sounds unappetizing and wasteful. I'd suggest reducing both the butter and sugar (although you still want it to coat the sweet potatoes, to protect it from drying out too much), but cooking it longer and lower at first, possibly covered, to help bring out the natural sweetness of the sweet potatoes and make them soft enough. Roasting sweet potatoes slowly can get you an almost candylike result without any added sugar, whereas cooking them quickly in the microwave always gives a blander, starchier result. That said, this sounds like a holiday recipe, and it's best not to try to force holiday recipes to change.",MEXICAN
"How the hell did they chip it up like that cutting a pizza?!? In any case, ouch!! I guess its time to send it to Shun for sharpening. I'm sure they've seen worse. https://shun.kaiusaltd.com/warranty",ITALIAN
"In my opinion, unless your Vietnamese Grandma is gonna cook all day, the best way to eat pho is at a restaurant (hint: They all do takeout and its just as good, they serve all the components separately, and you make it yourself, get a large and its two meals). Making real pho broth takes many hours and many ingredients, its best done in large batches due to the cost and effort, but for a home cook, that sucks. Other than the broth, getting the noodles, veggies, meats/tendon/meatballs/tripe, and sauces is easy, but without the real broth its not quite the same However, one workaround... chicken pho! Just use low sodium chicken broth as your base, and put together your pho ingredients to your liking, and have it that way. Yes chicken pho is a normal traditional dish too, though personally, i do prefer the beef.",CHINESE
"Mix equal parts olive oil, balsamic vinegar, and some sort of mustard (I go with Dijon) and dip with bread. 7/7",FRENCH
Not gonna lie. Shoyu just doesn't do it for me no more.,JAPANESE
"I tried so many all-butter chocolate chip cookie recipes because I assumed butter was just a superior ingredient to use, because, like you said, it gives better flavor. But I was just not pleased with the texture of any of them. Finally I had some cookies that my MIL made and they were delicious, the exact texture I wanted. I asked her for the recipe and sure enough, a butter/shortening mix.",AMERICAN
"I feel like this question is more ""what staples do i buy"". I would suggest buying 1 new 'pantry' item every time you make a dish. If i had to 'limit' my pantry, the must haves would be.. roughly in this order.. Salt, cayenne, cumin, flour, baking powder, thyme, Italian seasoning, black pepper, garlic powder, brown/white sugar, whole canned tomatoes, chicken broth, beef consomme... That should give you a jump start on making tacos, french onion soup, spaghetti, most importantly several different variations of the same ""meat in pan, sauce and veggies, starch on side"" one pan meals, chicken wings, and lots of baked goods",ITALIAN
"If I'm making gravy by deglazing the pan with a broth of some sort or some wine, I'll make a ""slurry"" of a couple of teaspoons of oil mixed with a couple of teaspoons of flour and mix that in, a spoon at a time. That thickens everything nicely without making glue. It works better than using water. Basically, if I'm making a sauce using a hot roux, i'll use a cold liquid. If I'm making a sauce with a hot liquid, I'll use a cold roux (also works well for thickening stews). That rule has never failed me.",FRENCH
Just make a garlic+olive oil+butter sauce and you will love any veggie in the world :D,ITALIAN
"Red beans and rice. White rice, kidney beans, celery, bell pepper, and onions are all cheap. Besides that all you need is salt and you can buy packets of ham seasoning if you don’t want to spend money on meat. You can make very large portions that last a while. Bell pepper is the most expensive thing on here and you could not include it if you want. Edit: and you need some cooking oil but I’m assuming you have that!",AMERICAN
"As someone who cooks mostly Latin-American/Brazillian, I have way more use for limes. Plus, I can't live without ceviche.",MEXICAN
"I use mine almost daily. - hard/soft boiled eggs - stocks , soups , chili, stews - bone in chicken (SO . JUICY. No brine ) in 15 min - tough cuts of meat - rice and chicken if my dogs are sick lol - curry dishes",CHINESE
"ME COOK GOOD. WOMAN STAY OUT OF KITCHEN. JK, I know about 20 dishes by heart and can improvise, my roomies can make uhhh mac and cheese. #winning.",ITALIAN
"Everyone has their own recipe for sauce. My father's is different than mine, my uncle's, or my mother-in-law's. I grow a lot of tomatoes every summer, so I have a tendency to only make sauce in August/September in huge batches, and then freeze manageable portions in ziplock freezer bags. Fresh tomatoes make all the difference. While there are quality canned tomatoes out there, I prefer to use my own whenever possible. When I want pasta in January, it is as easy as thawing a bag of sauce and bringing it back to a simmer on the stove top. I blanch the fresh tomatoes to make skin removal easy, then I cut them open and deseed them. I always deseed into a screened strainer so I can catch the seeds, but retain the liquid that holds them (lots of flavor). I always use fresh herbs and garlic whenever possible (which is always). I like onions and celery in mine (2 med onion, 2 ribs of celery). I mince them rough and start them over low heat with kosher salt to sweat them soft. Once they are half way there I add several rough chopped cloves of garlic. Now I add my tomato paste to the pan and allow it to caramelize. This adds a depth of flavor to the sauce you can only get in this step. Deglaze the pan with a 1/2 cup of dry white wine and add the tomatoes. I use about 2-3 dozen or so depending on the size. Now add fresh herbs (basil, oregano, parsley (flat leaf), and bay leaf). Bring it to a simmer and let it cook for 90-120 minutes. A trick I learned from AB is to use a tsp of baking soda instead of sugar to balance the acid. A small quantity of baking soda will lower the acidity of the sauce, balancing the flavors and allowing the natural sweetness of the tomatoes to shine through. I usually add the baking soda about 1/2 way through the process.",ITALIAN
> Quinoa in everything. Trader Joes now sells a pesto with quinoa that looks really unappetizing. Why ruin an already good thing.,MEXICAN
