text,meta/source,_input_hash,_task_hash,options/0/id,options/0/text,options/1/id,options/1/text,options/2/id,options/2/text,options/3/id,options/3/text,options/4/id,options/4/text,options/5/id,options/5/text,options/6/id,options/6/text,_view_id,config/choice_style,answer,_timestamp,_annotator_id,_session_id,accept/0
"A ss pan isn't going to hold it's heat as well as cast iron. If you want the best browning, it's gotta be cast iron. If you're making a pan sauce aftward, then ss is a good choice.",homework2-DSBA6188-UNCC,-1522785996,-1826112309,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710900540,2024-03-19_22-06-52,2024-03-19_22-06-52,
Your sauce recipe has a lot of starch for the amount of liquid. It's a wonder that you got any sauce at all. Also that's a lot of oyster sauce. Typical ratios are one part oyster sauce to three parts soy sauce.,homework2-DSBA6188-UNCC,784058626,-1860801302,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710900602,2024-03-19_22-06-52,2024-03-19_22-06-52,CHINESE
"I like to dip saltines into Lipton tea that has sugar in it. Weird, I know, but it’s something I did as a kid and still like it. Lol!",homework2-DSBA6188-UNCC,394934557,292980352,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710900625,2024-03-19_22-06-52,2024-03-19_22-06-52,CHINESE
"I've said ""behind"" so often I use it In super markets and the likes.",homework2-DSBA6188-UNCC,1811415325,690039667,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710900632,2024-03-19_22-06-52,2024-03-19_22-06-52,
"Do they? I know very little about cooking curries, just that they're delicious. Can you recommend good resources for learning to cook them properly?",homework2-DSBA6188-UNCC,2062973356,-2100065756,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710900645,2024-03-19_22-06-52,2024-03-19_22-06-52,INDIAN
"> downvoted, at the bottom of the page. I think you were in Australia at the time of typing.",homework2-DSBA6188-UNCC,1348524356,-408734421,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710900648,2024-03-19_22-06-52,2024-03-19_22-06-52,
This is really good: Smoky Lentil Chili https://www.lemonsforlulu.com/smoky-lentil-chili/,homework2-DSBA6188-UNCC,355174689,886310543,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710900797,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
"the threads can sometimes indicate that it's very dry. looks to be the case here. It's possible that if this was frozen previously that it could have had even lower moisture content than normal prior to being cooked. if that's the case, there's really not much you can do that won't result in a shitty piece of chicken. I like to use thigh meat instead of breast if I'm cooking it whole like this. if you're really set on using breast, you can also put it in a plastic bag and use a mallet to pound it out to be a little more uniform in thickness and be thinner. like 3/4 of an inch or so. it will cook faster on each side, which means you won't have to let it sit so long in the pan and get all dry.",homework2-DSBA6188-UNCC,84255901,673206915,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,reject,1710900835,2024-03-19_22-06-52,2024-03-19_22-06-52,
"That's basically what I did :) I had been eating my bacon as I was making the pancakes, so just crumbled a piece on top.",homework2-DSBA6188-UNCC,-856609488,1001410341,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710900946,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
They can be used to make a pretty decent sauce for a pork tenderloin. Or they can be used reduced down and used to make a BBQ sauce.,homework2-DSBA6188-UNCC,-644417024,-222282446,INDIAN,INDIAN,FRENCH,FRENCH,JAPANESE,JAPANESE,ITALIAN,ITALIAN,MEXICAN,MEXICAN,CHINESE,CHINESE,AMERICAN,AMERICAN,choice,single,accept,1710900988,2024-03-19_22-06-52,2024-03-19_22-06-52,AMERICAN
